City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Salalah,OM,17.02,54.09,77.0,100,90,6.93,light intensity drizzle
277,Cukai,MY,4.25,103.42,77.0,94,90,2.24,overcast clouds
278,Nichinan,JP,31.6,131.37,80.6,78,33,6.93,scattered clouds
279,Camiri,BO,-20.05,-63.52,54.36,40,8,3.4,clear sky
280,Nuuk,GL,64.18,-51.72,42.8,93,90,5.82,fog
281,Povenets,RU,62.85,34.83,59.86,79,92,9.35,overcast clouds
282,Bereda,ES,43.27,-7.54,61.0,95,21,1.99,few clouds
283,Coihaique,CL,-45.58,-72.07,50.0,57,75,3.36,broken clouds
284,Along,IN,28.17,94.77,71.67,89,66,1.59,broken clouds
285,Makat,KZ,47.65,53.35,68.47,45,100,9.48,overcast clouds
286,Bibiani,GH,6.46,-2.32,69.37,99,55,2.21,broken clouds
287,Hokitika,NZ,-42.72,170.97,55.83,67,88,6.04,overcast clouds
288,Sassandra,CI,4.95,-6.08,75.15,89,65,7.92,broken clouds
289,Abu Samrah,SY,35.3,37.18,70.84,68,0,7.76,clear sky
290,Rayagada,IN,19.17,83.42,76.17,87,100,1.7,overcast clouds
291,Nynashamn,SE,58.9,17.95,66.99,76,36,5.01,scattered clouds
292,La Ronge,CA,55.1,-105.28,59.0,87,90,19.46,light intensity shower rain
293,Arlit,NE,18.74,7.39,97.2,26,38,7.72,scattered clouds
294,Uruacu,BR,-14.52,-49.14,78.69,41,13,8.34,few clouds
295,Pangnirtung,CA,66.15,-65.71,52.65,60,0,3.69,clear sky
296,Mokhsogollokh,RU,61.47,128.92,47.32,58,0,5.01,clear sky
297,Behshahr,IR,36.69,53.55,75.2,88,90,6.93,light rain
298,San Cristobal,VE,7.77,-72.22,89.6,40,40,17.22,scattered clouds
299,Bad Sachsa,DE,51.59,10.56,64.99,69,100,5.19,overcast clouds
300,Kamaishi,JP,39.27,141.88,76.78,81,100,2.68,overcast clouds
301,Abha,SA,18.22,42.51,71.6,68,5,2.95,clear sky
302,Sambava,MG,-14.27,50.17,67.71,81,55,12.44,broken clouds
303,Kaeo,NZ,-35.1,173.78,61.0,3,27,5.01,scattered clouds
304,Bilibino,RU,68.05,166.44,41.56,88,100,3.33,light rain
305,Potsdam,DE,52.4,13.07,66.99,73,47,5.08,scattered clouds
