City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Zyryanka,RU,2020-08-20 00:14:18,65.75,150.85,48.88,54,82,16.49
230,Tuatapere,NZ,2020-08-20 00:14:19,-46.13,167.68,55.0,83,56,1.99
231,Hurghada,EG,2020-08-20 00:09:57,27.26,33.81,83.77,39,0,16.67
232,Aanekoski,FI,2020-08-20 00:14:20,62.69,25.82,57.99,93,11,3.36
233,Ulaanbaatar,MN,2020-08-20 00:12:33,47.91,106.88,59.0,51,20,20.13
234,Udachnyy,RU,2020-08-20 00:14:20,66.42,112.4,42.8,87,0,8.95
235,Vaitape,PF,2020-08-20 00:14:20,-16.52,-151.75,79.23,76,29,22.73
236,Ubinskoye,RU,2020-08-20 00:14:20,55.31,79.68,50.36,93,52,9.04
237,Tsaratanana,MG,2020-08-20 00:14:21,-16.78,47.65,65.43,75,16,8.39
238,Pevek,RU,2020-08-20 00:14:21,69.7,170.31,42.3,82,97,1.21
239,Necochea,AR,2020-08-20 00:14:21,-38.55,-58.74,44.01,72,87,8.01
240,Olafsvik,IS,2020-08-20 00:14:21,64.89,-23.71,49.24,81,18,5.48
241,Tessalit,ML,2020-08-20 00:14:21,20.2,1.01,85.12,45,74,11.99
242,Leningradskiy,RU,2020-08-20 00:14:22,69.38,178.42,56.16,48,71,5.64
243,Wamba,NG,2020-08-20 00:14:22,8.93,8.6,73.04,92,97,3.51
244,Grand-Santi,GF,2020-08-20 00:14:22,4.25,-54.38,79.97,72,62,1.12
245,Estacion Coahuila,MX,2020-08-20 00:14:22,32.19,-115.0,116.01,17,5,6.93
246,Vao,NC,2020-08-20 00:14:23,-22.67,167.48,71.28,79,3,20.29
247,Kruisfontein,ZA,2020-08-20 00:09:29,-34.0,24.73,45.46,74,18,8.12
248,Troitsko-Pechorsk,RU,2020-08-20 00:14:23,62.71,56.2,54.43,97,100,10.45
249,Merauke,ID,2020-08-20 00:14:24,-8.47,140.33,78.8,68,93,9.19
250,Bani,DO,2020-08-20 00:14:24,18.28,-70.33,86.0,76,100,3.0
251,Novyy Yarychiv,UA,2020-08-20 00:14:24,49.9,24.31,62.6,93,100,4.47
252,Antofagasta,CL,2020-08-20 00:14:00,-23.65,-70.4,57.2,67,75,9.17
253,Yanam,IN,2020-08-20 00:12:59,16.73,82.22,75.58,94,100,11.25
254,Gold Coast,AU,2020-08-20 00:14:25,-28.0,153.43,69.01,32,1,6.93
255,Pontal Do Parana,BR,2020-08-20 00:11:08,-25.65,-48.51,55.4,93,75,5.82
256,Shihezi,CN,2020-08-20 00:14:25,44.3,86.03,72.79,44,93,1.92
257,Kawalu,ID,2020-08-20 00:14:25,-7.38,108.21,72.45,85,89,1.12
